tweet	sarcastic
The lone thing I got from college is a caffein dependence 	1
I love it when professor draw a big inquiry grade following to my reply on an examination because I’m ever like yea I don’t either ¯\_(ツ)_/¯ 	1
remember the 100 email from company when Covid begin acquiring real? I’ve get 3 in respect to support for protest. And lone @SavageXFenty share helpful links and really state blackness life affair... we love capitalism 🥰🙌🏼 	1
today my pop-pop state me I was not “coerce” to go to college 🙃 OK certain sureeee 	1
@VolphanCarol @littlewhitty @mysticalmanatee I did too, and I besides report Cancun Cruz not badgering astir the pulse of his component without electricity or heat when he flee to Mexico. 	1
@jimrossignol I take to construe it as ``XD'': the universal emoticon for laugh at those poor, poor folks in Ubisoft's selling section who have to trade with that stigmatization until the waiter softly close down 8 month after launch. 	1
Why would Alexa's formula for Yorkshire pudding be a bhaji Yorkshire pudding ?? @bbcgoodfood 	1
person hit me w a horse tranquillizer istg ive be in a pool of perspiration for 6 hours and i havent sleep im so tire but i love my friend so much and oh my fuck god i buzzword rn 	1
love season 4 of trump Energy US. amusing season yet #DonaldTrump #trump #MAGA #MAGA2020 	1
holly Arnold ??? Who #ImACeleb #MBE nope not certain oh bent on you mean MBE yes that’s her !!! 	1
ANY pensioner AND 4 year OLD WHO dare return ME ON AT dinosaur theme crazy golf volition BE oppress, oppress I Tell YOU. HTTP://t.co/yZlafy0lsd 	1
See Brexit is departure well 	1
just like to compliment everyone on the Kop today for the fast ever poor Liverpudlian Tommy. decelerate the fucking down 	1
do i just blast maneskin to get hype for my osce or?? 	1
@heathoween @tylerrjoseph Yes, because we demand literally every bingle fuck celebrity to talk up on a subject that's be coerce down everyone's throat for the yesteryear 4 month. I use the net to get away from these fuck real life problem; not everyone need to weigh in. 	1
I never idea I'd say this, but I have go one of those people who like premium bars. 	1
My firstborn is have a wild Fri nighttime out. She's departure to lotto. 😂 	1
Whoever’s yearling ass spray the stallion lavatory wing, I hope you stub your toe and bite your lingua truly difficult. besides you be clearly dehydrate, go drink some darn H2O like an grownup 	1
gaslight gatekeep miss foreman 	1
I was lone in Taylor Swift’s top 0.10% of hearer on Spotify but finale twelvemonth but yea wholly sound that Swiftogeddan in Glasgow is sell out 	1
imagine departure to university for 4 age when you could just follow Elon musk on chirrup for free 	1
Not got one lynx Africa for Christmastide Day this twelvemonth, shock and shock. #RuinedChristmas 	1
The villain in superintendent hero movie are terribly polite. They ever restrict their invasion to beingness above one specific metropolis 	1
Oh my good. It’s the first hebdomad of the summertime vacation and Harrison has found his recorder. give. Me. strength. 	1
@AsdaServiceTeam ideate your bringing beingness 2 hours late, and ideate career up your service squad lone for them to bent up at 10pm, coincidently the Lapp clip the office finale. But it’s OK, my £3 bringing fee is beingness refund though 👊🏻 	1
team is down what a shame I can’t do my assignment 👉🏽👈🏽 	1
@DuncanEdwards03 @PoliticsForAlI well I uncertainty they're try to knock the door in to alteration the ordinance of coughing medicine. 	1
Not at all refer that a man's just be round to violin with the boiler and now he's left the C monoxide dismay won't halt honk 	1
Not relation anyone how I vote in instance it Energyn't semen true #EUref 	1
just wonder how to get my Dis down by 1500 words .. such fun 	1
It’s be a blissful 2.5 hours of slumber tonight 	1
fall asleep at your laptop is ever fun 	1
try to know all this history tonight is gonna killing me 	1
love it when Jonny brand me use earphone to ticker something on my telephone so he can drama fifa 	1
Nice to be compare to a brick wall 😂 	1
@BellularGaming blizzard volition have to brand certain it Energyn't transcend the recommend fun degree of 10%. 	1
if 2020 was a nose it’d be mine 🐦 	1
Would anyone like to spring me some money? #FinDom 	1
Got very excite that my subject trust card arrive I am officially a grandmother HTTP://t.co/mtkWJCxwom 	1
immunize this morn. Not certain it's work - still perpetrate to apple and no supernumerary autism detect. bloody science. 	1
ITS approach HOOOOOME 	1
i wishing i could tap in to the authorities bank account🙄🙄🙄 	1
90% of maturity is just replenishment your Brita hurler. 	1
I say though, we did mark one for the hereafter so, you know, not all somberness and doomsday...we mightiness be good in 6 age clip. 	1
Where is the Chancellor? please cheque the dorsum of your sofa. 	1
i have be inform that, as aroace and agender, i have triple visibleness and am now seeable from infinite. 	1
departure to be run on 3 hours of slumber at work tonight! so excite!!! 	1
@AlexShawESPN @robwishart @GNev2 Energy he order 11 at once and drink each one at just over 5 proceedings, OR do we have to return into history departure to the bar? either way it’s a shame and not what we should be promote to the child. 	1
i’m now reading 4 book at once what could go wrongfulness 🧡 	1
@ZionWarrior6 I think luncheon was ready at the attention place, then it was clip for nap and then countdown. 	1
@Schlippertysch1 @anon_opin very good. just demand to work on your spelling now 👍 	1
July 1st. half way point of the twelvemonth. well I think we can all hold that 2020 has travel smoothly so far. Can’t delay for portion 2. #murderhornets 	1
Got lock out of chirrup for expression it’s embarrass to be an armory fan. That’s not OK, but people can be opprobrious and racialist and nil?!? OK! 🤣🙄 	1
I just perfectly love how I've got to work exterior for the following 3 years in the heatwave. #sweatingmyballsoff 	1
@ThePartridgePod defrost the Deepfreeze with the cast of Hollyoaks. Any of them that desire an supernumerary fun trip could pop to the recycling Centre with some empty pesto jar. magic. 	1
So, very delay flight from Bristol to Edinburgh @easyJet, hallmark vagueness from staff, with a chronic deficiency of empathy to boot (contempt me travel with 3 offspring child)... now, clip to provender our household with £3 voucher (at airdrome price!) #testis 	1
we demand to normalize have perfectly fry bleach damage hair. people should talking astir this 	1
Wizkid is the Rex, ok lol 	1
Ah yes, it truly is wood-burning stove in sub-Saharan Africa thats drive the clime crisis 🧠 HTTP://t.co/lShlgWYGOX 	1
