	text1	text2	sarcastic
361	All the shade i have been hearing about Ben Platt being unbelievable as a teenager in the @DearEvanHansen movie  boggles me.  Does nobody have any memories of Grease???  Name 1 actor on that film who believably looked high school age!	Dear Evan Hanson cast the same type of older actors as Grease.	0
422	you would think the odds of me sitting next to the exact same stinky man three bus trips in a row is highly unlikely. alas I seem to be a lucky gal	I can't believe the same man ended up sitting next to me on the bus three times in a row. He stinks, so I'm unlucky.	0
67	Billy Gunn sorta relevant for the first time in years...	Billy Gunn is actually in the spotlight now. 	0
779	Donald Trump asked the Chief Medical Officer if people should drink bleach to treat covid 19 and now zoflora, dettol and toilet duck are trending on twitter.	I see Dettol, Toilet Duck and Zoflora are all trending on Twitter. Now why could that be... #TrumpPressBriefing	1
394	@catboychika Aren't you happy I gave you less competition for ranking	Sorry for putting off the event for so long TT	0
605	Mad how many people don’t use indicators these days. 	Mad how many cars they make now without indicators 🙃	1
846	Unfortunately, 143 by Bobby Brackens was my song with my middle school boyfriend.	oh also, my song with my middle school boyfriend was “143” by Bobby Brackins!! i really peaked geez	1
604	The new Tik Tok voice over is annoying.	I really hate the new TikTok voice over voice - she sound annoying af	1
23	"Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. 

Give.
Me.
Strength."	It is the first week of the summer holiday and My son is playing his recorder and my ears cannot take the sound anymore. 	0
812	"""People on the left should not agree with the right just to win points in debates with people in the centre."""	Agreeing with the right to dunk on the centre is the real dialectical materialism	1
76	"My (extended) fam was discussing going on a trip instead of getting presents for Christmas, like okay I’m bout it...
Yeah they were talking about doing to the dells. I’ll take my god damn presents thank you very much"	Everyone needs gas-x after having beans. 	0
449	I hate leaving the doctors office crying. 	I love leaving the doctors office in tears. I need this kid to just decide to leave my body so we can be done and home together.	1
44	Where is the Chancellor? Please check the back of your sofas.	(!) I wonder where the Chancellor is after such an important decision?	0
208	my super power is always biting into the sour cream side of the burrito no matter what	I cannot stand that every time I bite a burrito it's a mouthful of sour cream. 	0
669	Spiderman is so unrealistic. If a creature became more human, it would be incredibly boring	"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse"	1
481	I am unhappy that you have lost my parcel	Thanks @myhermes for losing my parcel but giving me someone else's. I'm nice enough to go give it to them though. Please DM me back soon 😐	1
309	I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is perfect.	I am starting off my day by watching a Dragons Den special on Deborah Meaden and eating a Pot Noodle. My life is a sham. Send help.	0
215	We really need to remind people that universal healthcare means never needing to sit through another annual explanation of benefits meeting	Universal healthcare saves a lot of time and makes life easier	0
254	Day 38 of quarantine is an interesting time to get a new drum kit, neighbor	Getting a drum kit this late into quarantine is weird and off putting. 	0
444	i asked my smart speaker to add small bananas to the shopping list, but she misheard me.	"""Alexa add small bananas to the shopping list."" I've added smooth armours to your shopping list."" Gee thanks Alexa! #alexa"	1
72	Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure	I can not avoid miss gatherings as I work in a school.	0
290	love when the train stops in philly and everybody boards and of a sudden it smells like a ham sandwich	i'm disappointed but not surprised that my train stopped in philly and everybody got on and suddenly it smelled like ham sandwich	0
525	"""How does somebody find motivation to do basically anything? I haven't had motivation in ages."""	How does one find motivation to do basically anything? Asking for a friend.	1
86	fully vaxxed feeling very girlboss	fully vaxxed not feeling very girlboss	0
66	I've been doing physics for 40 minutes I think I deserve a break 😂😂😂😭 I'm never going to get it all done at this rate	I've been doing physics for 40 minutes, i cant take a break or I'm never going to get it all done at this rate	0
433	who needs an alarm when u can have the low rumbling voice of a stranger to wake u up in the morning 🥰	I wish I hadn't been woken up by a stranger talking loudly. 	0
718	I thought I had a great idea for my thesis, but someone has already published on it. I'll need to find a new topic. 	not to brag, but my thesis topic was so good that someone else published on it three months ago 🙃	1
583	Just rediscovered that my nose I always in my field of vision which is making it difficult to focus on my assigned readings. 	Just rediscovered that my nose is always in my field of vision so I will unfortunately be dropping out as I cannot continue my assigned readings in peace	1
448	there is no way I would win a contest that millions of people are entering 	So weird how Venmo hasn’t venmoed me yet really thought I was the one	1
842	i am so drained 	i’m dying	1
527	The refs missed a few traveling calls on James Harden.	James Harden is allowed to travel every time he drives apparently	1
319	first game not starting when it's supposed to? a UCF tradition	UCF football games get delayed or cancelled.	0
328	every date I go on I get a little scared will be phone swap	I am not afraid that I will be on the show phone swap while I go on a for date	0
174	Wow Bdubs can bench press 150 kilometers	Bdubs can't bench press 150 kilometers	0
70	"🌶 Spiced Coconut curry 🥥

.
A weekend spent with friends brings a week of content... or something like that 😜

.
Started the weekend off with this yummy morsel, With was a fusion of miso sesame aubergine 🍆, broccoli… https://t.co/zyWiA0EX4u"	I’m recovering from a hangover 	0
218	"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB"""	I don't like when it's cold in florida	0
244	im ollie im 5'8 and i think my 5'7 boyfriend is short	I think people below the height of 5'8 is short.	0
706	I have diarrhoea 	My poo is green, how festive.	1
